,0,1
0,方法,3
1,高频词,3
2,单字,3
3,词根,2
4,文章,2
5,较大,2
6,词频,2
7,高频,2
8,一堆,1
9,递归,1
10,关联,1
11,逻辑,1
12,选出,1
13,词库,1
14,一定量,1
15,去掉,1
16,字频,1
17,分出,1
18,拆出,1
19,找出,1
