,分值
0,0.9427806666666667
1,0.4478865166666666
2,0.5774152392222223
3,0.893295
4,0.6492359976923076
5,0.5
6,0.50448212
7,0.926058
8,0.5
9,0.968898
10,0.98569
11,0.664998597
12,0.5
13,0.42337990000000003
14,0.39602128
15,0.47479715
16,0.9325926666666667
17,0.24749796857142856
18,0.5595276666666666
19,0.5
20,0.9468455
21,0.5
22,0.6283675999999999
23,0.5040728185263159
24,0.7348095
25,0.41668145
26,0.21359601433333336
27,0.5216443334210527
28,0.4935484888888888
29,0.9095755555555556
30,0.4925695457142857
31,0.7363449750000001
32,0.9198886785714285
33,0.7432585999999998
34,0.8630015
35,0.6563419352941178
36,0.7875710769230768
37,0.832799
38,0.40908207399999996
39,0.6304369714285715
40,0.8756120000000001
41,0.8759501818181817
42,0.64402325
43,0.4623887633333333
44,0.9655881111111112
45,0.7500186666666666
46,0.5
47,0.5
48,0.6731326666666666
49,0.5
50,0.868299
51,0.9799295
52,0.7813451444444445
53,0.6214766222222222
54,0.5
55,0.942997
56,0.8644555333333334
57,0.5065902919999999
58,0.6652183019333333
59,0.8767761666666667
60,0.7654955999999999
61,0.7149000205128205
62,0.6453447428571428
63,0.5623989954999999
64,0.5756645
65,0.6427178845833333
66,0.5
67,0.8240328888888889
68,0.6941516879999999
69,0.4361151019230769
70,0.45573942428571435
71,0.7492347142857143
72,0.7704778571428573
73,0.5
74,0.7213525000000001
75,0.8438621428571427
76,0.977933
77,0.5
78,0.7636307166666666
79,0.4952533335
80,0.6550958849999999
81,0.23075701500000004
82,0.2363607235
83,0.976004
84,0.7808435416666667
85,0.52326749625
86,0.8072827666666667
87,0.893998
88,0.4454622106000001
89,0.9840234999999999
90,0.9554213333333333
91,0.79774232
92,0.9015886666666666
93,0.9386588333333333
94,0.7075600812499999
95,0.7214929999999999
96,0.922077
97,0.910582
98,0.9196673333333334
99,0.961376
100,0.998456
101,0.9503882499999999
102,0.65403302
103,0.66236
104,0.5
105,0.6886399888888888
106,0.633385
107,0.5
108,0.0104932
109,0.48405097
110,0.7713867142857144
111,0.7206989090909092
112,0.7108706529411766
113,0.386571432
114,0.6468636666666666
115,0.89147
116,0.658853750238095
117,0.6257794999999999
118,0.5
119,0.5
120,0.16322329380000003
121,0.6217572499999999
122,0.736341123076923
123,0.7159059999999999
124,0.8163126666666667
125,0.8391670000000001
126,0.5
127,0.991662
128,0.32522035
129,0.5895914999999999
130,0.5267410857142856
131,0.9491256666666664
132,0.838155
133,0.5
134,0.780491
135,0.5
136,0.7677211999999999
137,0.6231603833333333
138,0.879234
139,0.5
140,0.79298
141,0.19827051599999998
142,0.5
143,0.5164803333333333
144,0.5631098854333333
145,0.7510623619047619
146,0.3322567875
147,0.297236388
148,0.5
149,0.5
150,0.5
151,0.5
152,0.5
153,0.6758265176470589
154,0.5851770166666668
155,0.8920823999999999
156,0.98763
157,0.5
158,0.9960478333333332
159,0.6131231950000001
160,0.269743
161,0.40370318000000005
162,0.06292536
163,0.09770385000000001
164,0.9776926666666667
165,0.5
166,0.8909039999999999
167,0.172985
168,0.4306583666666667
169,0.8929832
170,0.167082
171,0.32814123333333334
172,0.9584536
173,0.6215955000000001
174,0.7875343314285713
175,0.5
176,0.5
177,0.5
178,0.21067244999999998
179,0.8267745
180,0.5
181,0.16439215
182,0.8999560000000001
183,0.570216075
184,0.130239476
185,0.5
186,0.0448335
187,0.5
188,0.41373044166666667
189,0.5
190,0.5
191,4.9247e-05
192,0.48641766666666664
193,0.6473744090909093
194,0.5793731
195,0.972328
196,0.71874816
197,0.6460989583333333
198,0.4837446
199,0.6806985176470588
200,0.45074216666666667
201,0.5
202,0.7889326666666666
203,0.310009845
204,0.992602
205,0.5430824666666667
206,0.7841522000000001
207,0.6324874156666667
208,0.8764515714285713
209,0.4681687875
210,0.8860124999999999
211,0.5711715125
212,0.8157293333333332
213,0.590808
214,0.5228080500000001
215,0.978993
216,0.42800890909090905
217,0.950251
218,0.590808
219,0.5
220,0.5
221,0.998615
222,0.9835975
223,0.725692
224,0.38452400000000003
225,0.6412100000000001
226,0.921641
227,0.9771405
228,0.74824625
229,0.4719054886363636
230,0.943609
231,0.9346300000000001
232,-1.0
233,0.6672453448837212
234,0.26456329
235,0.5
236,0.5
237,0.852702
238,0.7239386666666667
239,0.5
240,0.5
241,0.992247
242,0.5
243,0.568494
244,0.0012017969999999999
245,0.9070705
246,0.979369
247,0.4817343338571428
248,0.48451900000000003
249,0.6194567684210526
250,0.761975
251,0.9862715
252,0.5
253,0.73623225
254,0.6815866478260869
255,0.78037725
256,0.9734645000000001
257,0.5
258,0.8483545
259,0.936029
260,0.849303
261,0.41077635
262,0.5
263,0.5
