,分值
384,0.988283
385,0.7919410000000001
386,0.765879
387,0.5
388,0.5
389,0.5502495
390,0.5753655287647058
391,0.64099005
392,0.7882121666666667
393,0.5
394,0.971182
395,0.6852418727272727
396,0.61265798
397,0.5
398,0.5
399,0.5
400,0.6100594
401,0.995232
402,0.5690695429636365
403,0.989264
404,0.7856920242857142
405,0.71064952
406,0.5
407,0.7064319999999998
408,0.5
409,0.5
410,0.5
411,0.5
412,0.0401874
413,0.8818761875
414,0.5
415,0.570534
416,0.90116925
417,0.39743691800000003
418,0.8986215
419,0.34953059166666667
420,0.5
421,0.46468200000000004
422,0.8044774285714287
423,0.5
424,0.5
425,0.9720395
426,0.934195
427,0.793794
428,0.5
429,0.7494652500000001
430,0.5
431,0.49551905133333335
432,0.8040115
433,0.8090495
434,0.5
435,0.8173816
436,0.5
437,0.551928
438,0.22657187222222225
439,0.5744161666666666
440,0.684667
441,0.7418605
442,0.5
443,0.4781194999999999
444,0.631497
445,0.796661
446,0.65094525
447,0.5
448,0.33467062
449,0.910689
450,0.8806635
451,0.999539
452,0.951277
453,0.894594
454,0.7129198571428571
455,0.0214709575
456,0.6045131499999999
457,0.9372585
458,0.6309281199999999
459,0.7413963454545454
460,0.8964413333333333
461,0.7381574750000001
462,0.5952019736842106
463,0.000232749
464,0.88782425
465,0.8320642962962962
466,0.9087970000000002
467,0.4303158714285714
468,0.921117375
469,0.5
470,0.5
471,0.5
472,0.3350705
473,0.5
474,0.9504450000000001
475,0.11622211666666667
476,0.5
477,0.6710911125
478,0.5
479,0.5
480,0.49017170000000004
481,0.5
482,0.614348
483,0.14755
484,0.7344757111111112
485,0.14727768475
486,0.5207727999999999
487,0.4119275
488,0.990831
489,0.7859576
490,0.002002023
491,0.7673015
492,0.5542076285714285
493,0.9816085
494,0.5
495,0.806211625
496,0.991286
497,0.9295903333333334
498,0.5
499,0.23266320000000001
500,0.5
501,0.5
502,0.5
503,0.8584636666666666
504,0.5
505,0.998348
506,0.9813243333333334
507,0.5
508,0.7002848333333334
509,0.5
510,0.717596
511,0.5
512,0.8852663333333334
513,0.7255845
514,0.9939365
515,0.4303158714285714
516,0.5
517,0.5
518,0.5
519,0.98013
520,0.623828
521,0.411553
522,0.5
523,0.5
524,0.5
525,0.84243575
526,0.5
527,0.5
528,0.334505
529,0.9231716666666667
530,0.5
531,0.65301408
532,0.9255625000000001
533,0.000533062
534,0.744604
535,0.5
536,0.5
537,0.5
538,0.5
539,0.5
540,0.876336
541,0.5
542,0.17394700000000002
543,0.5
544,0.00136821
545,0.752389
546,0.6983595
547,0.351855
548,0.57725265
549,0.11421460957142858
550,0.65315
551,0.5
552,0.5
553,0.5
554,0.0664377
555,0.7301667000000001
556,0.5
557,0.40323542500000004
558,0.994542
559,0.4123358
560,0.5
561,0.5
562,0.6957865815789475
563,0.5
564,0.5
565,0.30520443939999997
566,0.8213425384615386
567,0.42655764000000007
568,0.5
569,0.752159
570,0.5
571,0.48979
572,0.5
573,0.998324
574,0.27002
575,0.2945937733333333
576,0.5
577,0.01486452828
578,0.9679614999999999
579,0.5
580,0.594503575
581,0.5
582,0.962306
583,0.58528
584,0.9629055
585,0.8995443333333334
586,0.673791
587,0.9719093333333332
588,0.43803697999999996
589,0.5
590,0.6941320000000001
591,0.5
592,0.3147707333333334
593,0.5
594,0.5
595,0.720886
596,0.930406
597,0.5
598,0.5431242000000001
599,0.9898415
600,0.42576083525925923
601,0.197716
602,0.024303
603,0.5
604,0.5703953538461539
605,0.75841343
606,0.6807892
607,0.8859536666666666
608,0.6851226666666667
609,0.3608820957142857
610,0.20647200000000002
611,0.9407743333333333
612,0.5
613,0.7311371428571427
614,0.7666098157894737
615,0.7255887000000001
616,0.7796245423076923
617,0.9820875
618,0.32739721833333335
619,0.787089
620,0.825389
621,0.33124124
622,0.000278848
623,0.47746006153846154
624,0.6727545
625,0.5
626,0.7963644799999999
627,0.6529872444444444
628,0.984301
629,0.6591519952380953
630,0.8048846
631,0.990856
632,0.8829925
633,0.5
634,0.19650669133333334
635,0.5
636,0.5
637,0.750045837
638,0.8161010000000001
639,0.41389175
640,0.6025161666666666
641,0.537301
642,0.5
643,0.0186836
644,0.960587
645,0.7324017368421052
646,0.369183
647,0.5
648,0.0345788
649,0.5712127527272727
650,0.5
651,0.8170934999999999
652,0.3795492233333333
653,0.475127
654,0.764024
655,0.5
656,0.794893
657,0.6288132000000001
658,0.586693
659,0.8241487500000001
660,0.5
661,0.526991
662,0.8675649999999999
663,0.6576107750000001
664,0.8473174357142857
665,0.7536529274999999
666,0.820415
667,0.925484
668,0.5615195
669,0.5529661666666665
670,0.5689792181818182
671,0.720403
672,0.5
673,0.58566225
674,0.290617
675,0.981607
676,0.6188901333333333
677,0.50808
678,0.5
679,0.5
680,0.5
681,0.9435186666666667
682,0.5
683,0.5
684,0.5
685,0.549856
686,0.9844269999999999
687,0.60761475
688,0.573297
689,0.60507542
690,0.5
691,0.7757368571428571
692,0.5
693,0.7471300025
694,0.6724275
695,0.5167474638297872
696,0.6790575999999999
697,0.5
698,0.5
699,0.5
700,0.7054018687500004
701,0.7763433333333333
702,0.434113
703,0.6568708781818183
704,0.17856166666666665
705,0.5753842499999999
706,0.607765
707,0.9355866666666667
708,0.8050889999999999
709,0.6145568980952382
710,0.4107834180526316
711,0.903655
712,0.6473069999999999
713,0.5687306285714285
714,0.5
715,0.4726041818181818
716,0.835503511111111
717,0.63729764
718,0.5
719,0.8939836923076924
720,0.8513245
721,0.990471
722,0.5
723,0.7528536363636363
724,0.5
725,0.8409296666666667
726,0.5412750316666667
727,0.9336576666666666
728,0.7832921111111111
729,0.5
730,0.4654243333333333
731,0.9657923333333333
732,0.5
733,0.6647105
734,0.97746
735,0.5
736,0.4349205
737,0.4803435
738,0.0176714
739,0.7955471
740,0.6227136500000001
741,0.9775329166666666
742,0.750623888888889
743,0.37692754000000006
744,0.5639599999999999
745,0.6376317333333333
746,0.70695494
747,0.48801830000000007
748,0.5
749,0.6052997999999999
750,0.6570775
751,0.5
752,0.7739661333333334
753,0.5703004652941177
754,0.5667813883333334
755,0.71397875
756,0.891039
757,0.39397174457333334
758,0.7809883846153844
759,0.5
760,0.5211746075
761,0.773406575
762,0.9855616666666668
763,0.8136388333333334
764,0.588610745
765,0.5984047266666667
766,0.5735847526315789
767,0.6792819999999999
768,0.6620469999999999
769,0.8888553333333334
770,0.8361799999999999
771,0.00753524
772,0.5
773,0.7530547
774,0.7352839800000001
