,0,1
0,亿元,11775
1,市场,9771
2,资金,5306
3,A股,4933
4,企业,4687
5,公司,4555
6,个股,4362
7,板块,4310
8,疫情,3641
9,经济,3632
10,余额,3127
11,证券,3002
12,投资者,2875
13,上市,2813
14,发展,2718
15,投资,2645
16,行业,2601
17,创业板,2571
18,涨幅,2524
19,指数,2524
